Date,Open,High,Low,Close,Adj Close,Volume
2016-03-31,147.500000,148.169998,146.050003,147.750000,147.750000,35076790
2016-04-01,147.020004,147.500000,143.929993,147.199997,147.199997,36517160
2016-04-04,147.199997,147.500000,145.350006,146.380005,146.380005,29017600
2016-04-05,145.100006,145.350006,143.570007,144.339996,144.339996,23255740
2016-04-06,144.869995,145.500000,144.029999,144.199997,144.199997,24087740
2016-04-07,144.929993,145.500000,143.050003,143.889999,143.889999,21781240
2016-04-08,144.220001,146.000000,144.100006,145.699997,145.699997,23592940
2016-04-11,145.699997,147.500000,145.100006,147.300003,147.300003,32151830
2016-04-12,147.300003,149.350006,146.039993,148.899994,148.899994,37601070
2016-04-13,149.100006,154.750000,148.880005,153.119995,153.119995,59208980
2016-04-14,153.339996,154.899994,149.160004,150.429993,150.429993,50122630
2016-04-15,150.690002,150.710007,147.020004,147.990005,147.990005,29369920
2016-04-18,146.000000,146.770004,143.279999,146.300003,146.300003,42012940
2016-04-19,146.500000,156.139999,146.199997,155.949997,155.949997,105794140
2016-04-20,155.880005,162.300003,155.820007,161.949997,161.949997,97396080
2016-04-21,164.759995,164.759995,157.610001,161.800003,161.800003,64666780
2016-04-22,162.110001,162.449997,158.250000,161.199997,161.199997,35869160
2016-04-25,160.809998,161.750000,158.610001,160.300003,160.300003,32046440
2016-04-26,159.820007,163.320007,159.309998,163.000000,163.000000,34849710
2016-04-27,163.880005,164.800003,159.300003,160.990005,160.990005,39136260
2016-04-28,161.029999,164.750000,158.899994,164.750000,164.750000,52034560
2016-04-29,164.600006,169.470001,163.419998,168.470001,168.470001,71095120
2016-05-04,166.369995,170.429993,158.250000,162.399994,162.399994,68632160
2016-05-05,161.300003,163.240005,160.070007,160.500000,160.500000,30108940
2016-05-06,160.699997,160.899994,158.550003,159.270004,159.270004,26293500
2016-05-10,158.779999,161.149994,156.149994,156.850006,156.850006,28797150
2016-05-11,157.240005,160.490005,156.699997,159.449997,159.449997,29597260
2016-05-12,160.949997,162.339996,159.029999,159.029999,159.029999,26357243
2016-05-13,159.300003,160.179993,157.320007,159.850006,159.850006,20352970
2016-05-16,159.979996,162.539993,157.500000,158.070007,158.070007,32878710
2016-05-17,155.100006,156.000000,150.600006,153.580002,153.580002,65014110
2016-05-18,153.500000,153.500000,151.800003,152.100006,152.100006,23076220
2016-05-19,151.250000,155.550003,148.330002,148.330002,148.330002,68045200
2016-05-20,149.369995,149.559998,145.639999,146.699997,146.699997,40182780
2016-05-23,145.990005,146.470001,143.830002,144.309998,144.309998,27115610
2016-05-24,144.949997,146.800003,144.460007,146.350006,146.350006,23818470
2016-05-25,146.899994,148.369995,146.339996,146.550003,146.550003,31261980
2016-05-26,147.339996,149.880005,146.630005,148.869995,148.869995,34524860
2016-05-27,148.800003,149.880005,147.580002,149.880005,149.880005,30197220
2016-05-30,149.970001,150.149994,147.759995,149.600006,149.600006,14857530
2016-05-31,149.740005,150.289993,145.500000,145.500000,145.500000,41566130
